 32,16,Bowtie2, 10000,Simulated,   4.29, 5727.46,  1000,      74,   0.01,    2.68,     6,      74,   0.01,    2.18,     0,      74,   1.75,    6.48,  1000,     104,   3.35,    7.39,  1000,     104
 64,16,Bowtie2, 10000,Simulated,   4.29, 5725.38,  1000,      74,   0.02,    2.68,     8,      74,   0.01,    2.18,     0,      74,   1.67,    6.48,  1000,     104,   3.38,    7.39,  1000,     104
 64,32,Bowtie2, 10000,Simulated,   4.28, 5725.35,  1000,      74,   0.03,    2.68,    12,      74,   0.01,    2.18,     0,      74,   1.75,    6.48,  1000,     104,   3.35,    7.39,  1000,     104
128,32,Bowtie2, 10000,Simulated,   4.28, 5725.68,  1000,      74,   0.04,    2.68,    17,      74,   0.01,    2.18,     0,      74,   1.75,    6.48,  1000,     104,   3.35,    7.39,  1000,     104
128,64,Bowtie2, 10000,Simulated,   4.29, 5725.62,  1000,      74,   0.05,    2.68,    25,      74,   0.01,    2.18,     0,      74,   1.67,    6.48,  1000,     104,   3.36,    7.39,  1000,     104
 32, 8,Bowtie2, 10000,Simulated,   4.27, 5726.44,   999,     734,   0.01,    2.68,     4,     734,   0.02,    2.18,     2,     734,   1.75,    6.48,   999,     162,   3.35,    7.39,   999,     162
 32,16,Bowtie2, 10000,Simulated,   4.28, 5726.48,   999,     734,   0.02,    2.68,     6,     734,   0.02,    2.18,     2,     734,   1.75,    6.48,   999,     162,   3.35,    7.39,   999,     162
 64,16,Bowtie2, 10000,Simulated,   4.28, 5725.38,   999,     734,   0.02,    2.68,     8,     734,   0.02,    2.18,     2,     734,   1.75,    6.48,   999,     162,   3.35,    7.39,   999,     162
 64,32,Bowtie2, 10000,Simulated,   4.28, 5725.38,   999,     734,   0.03,    2.68,    12,     734,   0.02,    2.18,     2,     734,   1.67,    6.48,   999,     162,   3.36,    7.39,   999,     162
128,32,Bowtie2, 10000,Simulated,   4.29, 5725.61,   999,     734,   0.04,    2.68,    17,     734,   0.02,    2.18,     2,     734,   1.75,    6.48,   999,     162,   3.35,    7.39,   999,     162
128,64,Bowtie2, 10000,Simulated,   4.27, 5725.66,   999,     734,   0.05,    2.68,    25,     734,   0.02,    2.18,     2,     734,   1.67,    6.48,   999,     162,   3.36,    7.39,   999,     162
 32, 8,Bowtie2,   250, Illumina,   4.29,    7.72,  1546,  408309,   1.11,    1.79,   257,  418527,   0.51,    3.35,    47,  408309,   4.55,    6.59,  1546,   95158,   5.97,    8.29,  1546,   95158
 32,16,Bowtie2,   250, Illumina,   4.30,    7.72,  1546,  408309,   1.44,    1.79,   373,  414756,   0.51,    3.35,    46,  408309,   4.56,    6.59,  1546,   95148,   5.96,    8.29,  1546,   95148
 64,16,Bowtie2,   250, Illumina,   4.32,    7.72,  1546,  408309,   1.71,    1.79,   490,  409627,   0.51,    3.35,    45,  408309,   4.55,    6.59,  1546,   95158,   5.98,    8.29,  1546,   95158
 64,32,Bowtie2,   250, Illumina,   4.34,    7.72,  1546,  408309,   2.20,    1.79,   695,  409342,   0.51,    3.35,    45,  408309,   4.58,    6.59,  1546,   95153,   5.97,    8.29,  1546,   95153
128,32,Bowtie2,   250, Illumina,   4.32,    7.72,  1546,  408309,   2.71,    1.79,   899,  408506,   0.50,    3.35,    45,  408309,   4.57,    6.59,  1546,   95173,   5.96,    8.29,  1546,   95173
128,64,Bowtie2,   250, Illumina,   4.33,    7.72,  1546,  408309,   3.36,    1.79,  1184,  408380,   0.50,    3.35,    45,  408309,   4.57,    6.59,  1546,   96353,   5.96,    8.29,  1546,   96353
 32, 8,Bowtie2,  5000, Nanopore,   3.97, 4097.54,   715,  103715,   0.01,    2.68,     5,  150051,   1.23,    2.18,   452,  103715,   1.45,    6.48,   715,    4684,   2.40,    7.39,   715,    4689
 32,16,Bowtie2,  5000, Nanopore,   3.96, 4097.21,   715,  103715,   0.02,    2.68,     8,  155719,   1.24,    2.18,   454,  103715,   1.41,    6.48,   715,    4679,   2.41,    7.39,   715,    4679
 64,16,Bowtie2,  5000, Nanopore,   3.95, 4094.96,   715,  103715,   0.02,    2.68,    10,  127199,   1.20,    2.18,   389,  103715,   1.40,    6.48,   715,    4689,   2.41,    7.39,   715,    4689
 64,32,Bowtie2,  5000, Nanopore,   3.96, 4094.99,   715,  103715,   0.04,    2.68,    16,  136911,   1.26,    2.18,   432,  103715,   1.40,    6.48,   715,    4689,   2.41,    7.39,   715,    4689
128,32,Bowtie2,  5000, Nanopore,   3.97, 4097.02,   715,  103715,   0.05,    2.68,    21,  104419,   1.31,    2.18,   285,  103715,   1.40,    6.48,   715,    4684,   2.41,    7.39,   715,    4684
128,64,Bowtie2,  5000, Nanopore,   3.97, 4096.95,   715,  103715,   0.07,    2.68,    31,  104478,   1.31,    2.18,   286,  103715,   1.41,    6.48,   715,    4689,   2.41,    7.39,   715,    4694
 32, 8,Bowtie2,  6000,   PacBio,   4.40, 5153.75,   899,    4701,   0.02,    2.68,     6,   17753,   0.23,    2.28,    43,    4701,   1.33,    6.48,   899,     400,   3.25,    7.49,   899,     400
 32,16,Bowtie2,  6000,   PacBio,   4.66, 5153.50,   899,    4701,   0.03,    2.58,     9,    7600,   0.23,    2.17,    20,    4701,   1.39,    6.77,   899,     400,   3.41,    7.32,   899,     400
 64,16,Bowtie2,  6000,   PacBio,   4.42, 5150.88,   899,    4701,   0.03,    2.43,    12,   12545,   0.23,    2.12,    43,    4701,   1.37,    6.56,   899,     400,   3.36,    7.35,   899,     400
 64,32,Bowtie2,  6000,   PacBio,   4.47, 5150.88,   899,    4701,   0.05,    2.72,    19,   14484,   0.24,    2.15,    43,    4701,   1.40,    6.65,   899,     400,   3.40,    7.39,   899,     400
128,32,Bowtie2,  6000,   PacBio,   4.48, 5153.38,   899,    4701,   0.06,    2.69,    25,   12813,   0.25,    2.21,    43,    4701,   1.41,    6.43,   899,     400,   3.37,    7.39,   899,     400
128,64,Bowtie2,  6000,   PacBio,   4.45, 5153.50,   899,    4701,   0.09,    2.63,    38,   10579,   0.24,    2.18,    43,    4701,   1.40,    6.44,   899,     400,   3.38,    7.39,   899,     400
